Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,X_Cordinat,Y_Cordinat,Ulb_Name
TAP,254,Continuous,18.0146228679,25,PWT,359.803654299,403962.7137,1429587.669,Tambaram
TAP,254,Continuous,18.0806027058,25,PWT,359.803654299,403940.6098,1429579.9422,Tambaram
Streetlight,254,Continuous,21.0396984664,25,PLP,359.803654299,403683.8965,1430045.6742,Tambaram
Streetlight,254,Continuous,19.1092883604,25,PLP,359.803654299,403946.4197,1429534.6984,Tambaram
Streetlight,254,Continuous,15.6453468703,25,PLP,359.803654299,403962.818,1430023.9419,Tambaram
Streetlight,254,Continuous,19.587142338,25,PLP,359.803654299,403765.129,1430001.551,Tambaram
Streetlight,254,Continuous,19.7191020138,25,PLP,359.803654299,403747.614,1430003.4187,Tambaram
Streetlight,254,Continuous,15.6553438155,25,PLP,359.803654299,403915.3246,1430012.6655,Tambaram
Streetlight,254,Continuous,16.0732161222,25,PLP,359.803654299,403924.4729,1430007.7595,Tambaram
Streetlight,254,Continuous,15.8922714152,25,PLP,359.803654299,403947.0523,1429995.6921,Tambaram
Streetlight,254,Continuous,20.0010158667,25,PLP,359.803654299,403939.1619,1429424.4594,Tambaram
Streetlight,254,Continuous,20.4728716771,25,PLP,359.803654299,403718.6953,1430013.8259,Tambaram
Streetlight,254,Continuous,18.3615168641,25,PLP,359.803654299,403785.6917,1430046.1646,Tambaram
Streetlight,254,Continuous,17.5407676684,25,PLP,359.803654299,403834.7482,1430037.0886,Tambaram
Streetlight,254,Continuous,17.0599146073,25,PLP,359.803654299,403860.7868,1430031.1925,Tambaram
Streetlight,254,Continuous,16.6810303866,25,PLP,359.803654299,403888.2095,1430027.1196,Tambaram
Streetlight,254,Continuous,20.3729022258,25,PLP,359.803654299,403953.0864,1429415.4382,Tambaram
Streetlight,254,Continuous,20.0120125063,25,PLP,359.803654299,403949.3724,1429422.844,Tambaram
Streetlight,254,Continuous,19.6021377557,25,PLP,359.803654299,403917.0655,1429422.8071,Tambaram
Manhole,254,Continuous,19.7191020138,18,PMH,5.13209823531,403939.2549,1429458.6637,Tambaram
Manhole,254,Continuous,20.7087995824,18,PMH,5.13209823531,403921.0065,1429320.5299,Tambaram
Manhole,254,Continuous,20.3838988654,18,PMH,5.13209823531,403928.4056,1429376.1712,Tambaram
Manhole,254,Continuous,20.3838988654,18,PMH,5.13209823531,403935.9904,1429421.4779,Tambaram
Streetlight,254,Continuous,15.7883031858,25,PEB,359.803654299,403933.3133,1430003.6947,Tambaram
Streetlight,254,Continuous,17.5663598479,25,PEP,359.803654299,403895.942,1428955.6304,Tambaram
Streetlight,254,Continuous,15.9042677494,25,PEB,359.803654299,403937.0121,1430000.1184,Tambaram
Streetlight,254,Continuous,17.3768177681,25,PEP,359.803654299,403924.4319,1429620.8936,Tambaram
Streetlight,254,Continuous,17.4138064651,25,PEP,359.803654299,403955.189,1429620.078,Tambaram
Streetlight,254,Continuous,14.5036957357,25,PEP,359.803654299,404035.0325,1429811.447,Tambaram
Streetlight,254,Continuous,14.5416841272,25,PEP,359.803654299,403973.0292,1429817.5985,Tambaram
Streetlight,254,Continuous,15.9472546135,25,PET,359.803654299,403942.8946,1429997.3818,Tambaram
Hand Pump,254,Continuous,17.2988415961,25,PH,359.803654299,403920.1783,1429614.5511,Tambaram
Hand Pump,254,Continuous,16.9079610412,25,PH,359.803654299,403869.2407,1430029.1247,Tambaram
Hand Pump,254,Continuous,16.460097899,25,PH,359.803654299,403899.1517,1430020.8608,Tambaram
Hand Pump,254,Continuous,15.1355026683,25,PH,359.803654299,403951.4566,1429823.1938,Tambaram
Hand Pump,254,Continuous,14.6936376933,25,PH,359.803654299,404047.9039,1429791.7334,Tambaram
Hand Pump,254,Continuous,14.4237201746,25,PH,359.803654299,404028.7094,1429812.6704,Tambaram
Streetlight,254,Continuous,15.8302903554,25,PLP,359.803654299,403949.3836,1430002.4343,Tambaram
Streetlight,254,Continuous,16.0322286472,25,PLP,359.803654299,403930.4194,1430005.0883,Tambaram
Streetlight,254,Continuous,16.1002078741,25,PLP,359.803654299,403920.8192,1430010.3866,Tambaram
Streetlight,254,Continuous,17.0179274377,25,PLP,359.803654299,403866.6113,1430029.8543,Tambaram
Streetlight,254,Continuous,16.4850902619,25,PLP,359.803654299,403887.2206,1430005.5232,Tambaram
Streetlight,254,Continuous,14.5726746571,25,PLP,359.803654299,403968.5155,1429817.5635,Tambaram
Streetlight,254,Continuous,14.8405927868,25,PLP,359.803654299,404066.3056,1429805.5433,Tambaram
Streetlight,254,Continuous,14.9135704863,25,PLP,359.803654299,404047.6648,1429783.5225,Tambaram
Streetlight,254,Continuous,14.8875784289,25,PLP,359.803654299,404011.8264,1429770.7501,Tambaram
Streetlight,254,Continuous,14.7466215025,25,PLP,359.803654299,404008.8603,1429787.0862,Tambaram
Streetlight,254,Continuous,14.7226288342,25,PLP,359.803654299,404018.1894,1429814.5264,Tambaram
Streetlight,254,Continuous,14.6916383043,25,PLP,359.803654299,403994.7342,1429824.6688,Tambaram
Streetlight,254,Continuous,14.7776120324,25,PLP,359.803654299,403972.318,1429800.1623,Tambaram
Streetlight,254,Continuous,14.8006050062,25,PLP,359.803654299,403972.2654,1429807.9536,Tambaram
Streetlight,254,Continuous,14.9435613217,25,PLP,359.803654299,403972.7712,1429771.633,Tambaram
Manhole,254,Continuous,16.0522225374,18,PMH,5.13209823531,403895.8784,1430019.0855,Tambaram
